title,url,company_name,location_name,experience,deadline
Power app developer freelance for projects,https://jobs.bdjobs.com/jobdetails.asp?id=1078889&fcatId=8&ln=1,boo2 Bangla,Anywhere in Bangladesh,3 to 7 year(s),22 Sep 2022
Intern - Technical Content Writer,https://jobs.bdjobs.com/jobdetails.asp?id=1078860&fcatId=8&ln=1,BJIT Ltd.,Dhaka,Na,25 Sep 2022
Full Stack WordPress Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1078840&fcatId=8&ln=1,Avian BPO,Mirpur,1 to 3 year(s),24 Sep 2022
Assistant IT Officer - Night Shift,https://jobs.bdjobs.com/jobdetails.asp?id=1078769&fcatId=8&ln=1,Blue Pineapple Technology Ltd,Dhaka,0 to 1 year(s),24 Sep 2022
IT Incharge,https://jobs.bdjobs.com/jobdetails.asp?id=1078314&fcatId=8&ln=1,Kinoyee Express,Dhaka,2 to 3 year(s),31 Aug 2022
IT Assistant,https://jobs.bdjobs.com/jobdetails.asp?id=1078742&fcatId=8&ln=1,Nafisa Agro Products Ltd,Mymensingh,2 to 5 year(s),24 Sep 2022
Mid Level iOS Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1078717&fcatId=8&ln=1,TwinBit Limited,Dhaka,At least 2 year(s),24 Sep 2022
System Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1078794&fcatId=8&ln=1,Ryans Computers Ltd.,Dhaka,At least 3 year(s),24 Sep 2022
Digital Marketing Executive & SEO Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1078806&fcatId=8&ln=1,Takumi Japanese Language Center,Dhaka,At least 1 year(s),24 Sep 2022
Full Stack JavaScript Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1078572&fcatId=8&ln=1,ebhubon Ltd,Mohakhali,2 to 3 year(s),24 Sep 2022
